mês;operador;id_loja_atual;ds_subcategoria;real;resultado_modelo;resultado_ajustado
2017-09;Operador A;Loja 1;Produto F;0,063019358;0,016475859;0,016475859
2017-09;Operador A;Loja 1;Produto I;0,029269765;0,009503524;0,009503524
2017-09;Operador A;Loja 1;Produto H;0,050902929;0,032795247;0,032795247
2017-09;Operador A;Loja 1;Produto E;0,159741888;0,058606257;0,058606257
2017-09;Operador A;Loja 1;Produto G;0,05765749;0,025055508;0,025055508
2017-09;Operador A;Loja 1;Produto C;0,005593984;0;0
2017-09;Operador A;Loja 1;Produto D;0,004874426;0,003481489;0,003481489
2017-09;Operador A;Loja 1;Produto B;0,016828374;0,011594184;0,011594184
2017-09;Operador A;Loja 1;Produto A;0,007288427;0,008063512;0,008063512
2017-10;Operador A;Loja 1;Produto I;0,021702799;0,036787715;0,036787715
2017-10;Operador A;Loja 1;Produto H;0,053316931;0,050005346;0,050005346
2017-10;Operador A;Loja 1;Produto G;0,066222552;0,042849846;0,042849846
2017-10;Operador A;Loja 1;Produto F;0,095376259;0,037938001;0,037938001
2017-10;Operador A;Loja 1;Produto E;0,195580521;0,108033789;0,108033789
2017-10;Operador A;Loja 1;Produto D;0,006754561;0,019650774;0,019650774
2017-10;Operador A;Loja 1;Produto C;0,003504944;0;0
2017-10;Operador A;Loja 1;Produto B;0,020565433;0,016154718;0,016154718
2017-10;Operador A;Loja 1;Produto A;0,004735156;0,010566221;0,010566221
2017-11;Operador A;Loja 1;Produto I;0,047212293;0,074488214;0,074488214
2017-11;Operador A;Loja 1;Produto H;0,045448215;0,050262227;0,050262227
2017-11;Operador A;Loja 1;Produto G;0,102757532;0,053301859;0,053301859
2017-11;Operador A;Loja 1;Produto F;0,13940857;0,061807945;0,061807945
2017-11;Operador A;Loja 1;Produto E;0,227403556;0,173926884;0,173926884
2017-11;Operador A;Loja 1;Produto D;0,008402581;0,022863628;0,022863628
2017-11;Operador A;Loja 1;Produto C;0,00898287;0;0
2017-11;Operador A;Loja 1;Produto B;0,021493895;0,023391933;0,023391933
2017-11;Operador A;Loja 1;Produto A;0,018221067;0,009260578;0,009260578
2017-12;Operador A;Loja 1;Produto I;0,02051901;0,096378915;0,096378915
2017-12;Operador A;Loja 1;Produto H;0,018778144;0,016095084;0,016095084
2017-12;Operador A;Loja 1;Produto G;0,047815793;0,029005246;0,029005246
2017-12;Operador A;Loja 1;Produto F;0,126410102;0,064227976;0,064227976
2017-12;Operador A;Loja 1;Produto E;0,148228959;0,092080035;0,092080035
2017-12;Operador A;Loja 1;Produto D;0,001880136;0,02333195;0,02333195
2017-12;Operador A;Loja 1;Produto C;0,003922752;0;0
2017-12;Operador A;Loja 1;Produto B;0,02546307;0,013258004;0,013258004
2017-12;Operador A;Loja 1;Produto A;0,001508751;0,004218567;0,004218567
2018-01;Operador A;Loja 1;Produto H;0,043823407;0,024146878;0,024146878
2018-01;Operador A;Loja 1;Produto G;0,087716448;0,052452868;0,052452868
2018-01;Operador A;Loja 1;Produto F;0,116313077;0,087751156;0,087751156
2018-01;Operador A;Loja 1;Produto E;0,161598812;0,125742669;0,125742669
2018-01;Operador A;Loja 1;Produto I;0,019195952;0,052235707;0,052235707
2018-01;Operador A;Loja 1;Produto C;0,004131656;0;0
